TeamNumber,Name,City,State,Country,ImageURL
1,The Juggernauts,Pontiac,Michigan,USA,
4,Team 4 ELEMENT,Van Nuys,California,USA,
5,Robocards,Melvindale,MI,USA,
6,The CogSquad,Plymouth,MN,USA,
7,Team007,Baltimore,MD,USA,
8,Paly Robotics,Palo Alto,California,USA,
9,Roosevelt RoboRiders,Chicago,IL,USA,
10,Red Knights,St. Louis Park,MN,USA,
11,MORT,Flanders,New Jersey,USA,
13,Triskadekamanics,Flanders,New Jersey,USA,
14,The Rulers,Flanders,New Jersey,USA,
15,Mustechs,Flanders,New Jersey,USA,
16,Bomb Squad,Mountain Home,Arkansas,USA,
17,The Brick Bombers,Mountain Home,Arkansas,USA,
18,Team 18,Mountain Home,Arkansas,USA,
19,Big Red,Greenwich,CT,USA,
20,The Rocketeers,Clifton Park,New York,USA,
21,ComBBAT,Titusville,Florida,USA,
22,Double Deuce,Chatsworth,California,USA,
23,PNTA Pilgrim Nuclear Technology Alliance,Plymouth,Massachusetts,USA,
24,Crusaders 2020,Plymouth,Massachusetts,USA,
25,Raider Robotix,North Brunswick,New Jersey,USA,
27,Team RUSH,Clarkston,Michigan,USA,
28,Pierson Whalers,Sag Harbor,New York,USA,
29,Caught in a Brainstorm,Sag Harbor,New York,USA,
30,FURY,Lincroft,NJ,USA,
31,Jenks Prime Movers,Jenks,Oklahoma,USA,
33,Killer Bees,Bloomfield Hills,Michigan,USA,
34,Rockets,Athens,Alabama,USA,
35,Sigma Squared,Whitehall,MI,USA,
37,Junior Plaids,Coral Gables,FL,USA,
38,Nonnebots,Woodbury,CT,USA,
39,The 39th Aero Squadron,Gilbert,AZ,USA,
40,Checkmate,Manchester,NH,USA,
41,RoboWarriors,Warren,New Jersey,USA,
42,P.A.R.T.S. (Precision Alvirne Robotics Team Systems),Hudson,NH,USA,
45,TechnoKats Robotics Team,Kokomo,Indiana,USA,
46,Category5,Kokomo,Indiana,USA,
47,Chief Delphi,Pontiac,MI,USA,
48,Team E.L.I.T.E.,Warren,Ohio,USA,
49,Robotic Knights,Saginaw,MI,USA,
51,Wings of Fire,Pontiac,Michigan,USA,
52,Robotworks Y,Pontiac,Michigan,USA,
53,Area 53,Greenbelt,Maryland,USA,
55,Team 55,Greenbelt,Maryland,USA,
56,R.O.B.B.E.,Bound Brook,New Jersey,USA,
57,Leopards,Houston,Texas,USA,
58,The Riot Crew,South Portland,Maine,USA,
59,RamTech,Miami,Florida,USA,
60,Kingman FIRST Robotics Team 60 (The Bionic Bulldogs),Kingman,Arizona,USA,
61,BVT Robotics,Upton,Massachusetts,USA,
62,Team 62,Upton,Massachusetts,USA,
63,McDowell Robotics Team 63,Erie,Pennsylvania,USA,
64,Gila Monsters,Mesa,AZ,USA,
65,The Huskie Brigade,Pontiac,MI,USA,
66,Grizzly Robotics,Ypsilanti,Michigan,USA,
67,The HOT Team,Highland,Michigan,USA,
68,Truck Town Thunder,Ortonville,Michigan,USA,
69,HYPER,Quincy,Massachusetts,USA,
70,More Martians,Goodrich,Michigan,USA,
71,Team Hammond,Hammond,Indiana,USA,
73,The Illumination,Rochester,New York,USA,
74,Team CHAOS,Holland,Michigan,USA,
75,RoboRaiders,Hillsborough,New Jersey,USA,
77,Team 77,Hillsborough,New Jersey,USA,
78,AIR STRIKE,Newport,Rhode Island,USA,
79,Team 79 Krunch,Oldsmar,Florida,USA,
80,Robocolt,Phoenix,AZ,USA,
81,MetalHeads,Freeport,Illinois,USA,
84,Chuck 84,Towanda,PA,USA,
85,B.O.B. (Built on Brains),Zeeland,Michigan,USA,
86,Team Resistance,Jacksonville,Florida,USA,
87,Diablo,Mount Holly,New Jersey,USA,
88,TJ²,Bridgewater,Massachusetts,USA,
89,Team 89,PA,USA,USA,
90,Team 90,PA,USA,USA,
92,RoboPats,Lincolnshire,IL,USA,
93,NEW Apple Corps,Appleton,Wisconsin,USA,
94,The  TechnoJays,Southfield,Michigan,USA,
95,Grasshoppers,White River Junction,Vermont,USA,
96,JESTER,Springfield,MA,USA,
97,Bionic Beef,Cambridge,Massachusetts,USA,
98,Team 98,Cambridge,Massachusetts,USA,
100,The Wildhats,Woodside,California,USA,
101,Striker,Chicago,Illinois,USA,
102,The Gearheads,Somerville,New Jersey,USA,
103,Cybersonics,Kintnersville,Pennsylvania,USA,
104,Team Universal,West Chester,PA,USA,
105,Team 105,CHARLTON,MA,USA,
106,Team 106,phila,PA,USA,
107,Team R.O.B.O.T.I.C.S.,Holland,Michigan,USA,
108,SigmaC@T Robotics Team,Fort Lauderdale,Florida,USA,
109,Team 109,Libertyville,IL,USA,
111,WildStang,Arlington Heights,Illinois,USA,
112,Plus One,Arlington Heights,Illinois,USA,
114,Eaglestrike,Los Altos,California,USA,
115,MVRT,Cupertino,California,USA,
116,Epsilon Delta,Herndon,Virginia,USA,
117,Steel Dragons,Pittsburgh,Pennsylvania,USA,
118,Robonauts,Houston,Texas,USA,
120,Youth Tech Academy Red Dragons,Cleveland,Ohio,USA,
121,Rhode Warriors,Middletown,Rhode Island,USA,
122,NASA Knights,Hampton,Virginia,USA,
123,Team - Cosmos,Hamtramck,Michigan,USA,
124,Team 124,Waterford,CT,USA,
125,NUTRONs,Revere,Massachusetts,USA,
126,Gael Force,Clinton,Massachusetts,USA,
127,Bluetonium,Friendswood,Texas,USA,
128,The Botcats,Columbus,Ohio,USA,
130,Brain Busters,Columbus,Ohio,USA,
131,CHAOS,Manchester,New Hampshire,USA,
132,Radioactive Mustangs,Wilton Manors,FL,USA,
133,B.E.R.T.,Standish,Maine,USA,
134,Team Discovery,Pembroke,NH,USA,
135,Penn Robotics Black Knights,Mishawaka,Indiana,USA,
136,Killer Kardinals,Plainfield,New Jersey,USA,
138,Entropy,Amherst,New Hampshire,USA,
140,Tigers,Tyngsboro,MA,USA,
141,WOBOT,Holland,Michigan,USA,
144,Operation Orange,Hamilton,Ohio,USA,
145,T-Rx,Norwich,New York,USA,
146,Team 146,Norwich,New York,USA,
147,Deep Thunder,St. Petersburg,FL,USA,
148,Robowranglers,Greenville,Texas,USA,
151,Tough Techs,Nashua,New Hampshire,USA,
153,Team 153,Bridgewater,NJ,USA,
155,The TechnoNuts,Berlin,Connecticut,USA,
156,RPM  - Robotics Plus Mayhem,Fairview,Pennsylvania,USA,
157,AZTECHS,Marlborough,Massachusetts,USA,
158,The Cobras,Milford,OH,USA,
159,Alpine Robotics,Fort Collins,Colorado,USA,
161,Team 161,Fort Collins,Colorado,USA,
162,Team 162,Fort Collins,Colorado,USA,
163,Team 163,Fort Collins,Colorado,USA,
165,Das Goat,Annapolis,MD,USA,
166,Chop Shop,Merrimack,New Hampshire,USA,
167,Children of the Corn,Iowa City,Iowa,USA,
168,Flashbacks,Miami,FL,USA,
169,Team 169,Miami,FL,USA,
171,Cheese Curd Herd,Platteville,Wisconsin,USA,
172,Northern Force,Falmouth/Gorham,Maine,USA,
173,RAGE Robotics ⚙️,Tolland,Connecticut,USA,
174,Arctic Warriors,Liverpool,New York,USA,
175,Buzz Robotics,Enfield,Connecticut,USA,
176,Aces High,Windsor Locks,Connecticut,USA,
177,Bobcat Robotics,South Windsor,Connecticut,USA,
178,The 2nd Law Enforcers,Farmington,Connecticut,USA,
179,Children of the Swamp,Riviera Beach,Florida,USA,
180,S.P.A.M.,Stuart,Florida,USA,
181,Birds Of Prey,Hartford,Connecticut,USA,
182,ThunderQuest,Dearborn,MI,USA,
184,F.R.E.D.,Dearborn,MI,USA,
186,The Alliance,Lake Buena Vista,FL,USA,
188,Blizzard,Toronto,Ontario,Canada,
190,Gompei and the HERD,Worcester,Massachusetts,USA,
191,X-CATS,Rochester,New York,USA,
192,GRT,Palo Alto,California,USA,
193,MORT Beta,Flanders,New Jersey,USA,
195,CyberKnights,Southington,Connecticut,USA,
197,Team 197,Southington,Connecticut,USA,
199,Deep Blue,Belmont,California,USA,
201,The FEDS,Rochester,Michigan,USA,
202,Team 202,Rochester,Michigan,USA,
203,SOUPERBOTS,Sicklerville,New Jersey,USA,
204,Eastern Robotic Vikings,Voorhees,New Jersey,USA,
207,METALCRAFTERS,Hawthorne,California,USA,
209,DRRT,North Dighton,MA,USA,
211,MAK,Rochester,NY,USA,
212,Robotics And Creative Engineering,Miami,FL,USA,
213,The Dirty Birds,Keene,New Hampshire,USA,
215,Team 215,El Paso,TX,USA,
216,More RoboDawgs,Grandville,Michigan,USA,
217,ThunderChickens,Sterling Heights,Michigan,USA,
219,Team Impact,Washington,New Jersey,USA,
221,Team 221,Houghton,MI,USA,
222,Tigertrons,Tunkhannock,Pennsylvania,USA,
223,Xtreme Heat,Wanaque,New Jersey,USA,
224,The Tribe,Piscataway,New Jersey,USA,
225,TechFire,Seven Valleys,Pennsylvania,USA,
226,Hammerheads,Troy,Michigan,USA,
227,Team 227,Troy,Michigan,USA,
228,GUS,Meriden,Connecticut,USA,
229,Division By Zero,Potsdam,New York,USA,
230,Gaelhawks,Shelton,Connecticut,USA,
231,High Voltage,Houston,Texas,USA,
232,Team 232,Napa,CA,USA,
233,The Pink Team,Rockledge,Florida,USA,
234,Cyber Blue,Indianapolis,Indiana,USA,
235,Motown Live Wires,Warren,MI,USA,
236,Techno-Ticks,Old Lyme,Connecticut,USA,
237,Black Magic Robotics,Watertown,Connecticut,USA,
238,Crusaders,Manchester,New Hampshire,USA,
239,Team 239,Manchester,New Hampshire,USA,
240,TEMPEST,Newport,Michigan,USA,
241,Astros,Derry,NH,USA,
244,RoboDawgs 3D,Grandville,Michigan,USA,
245,Adambots,Rochester Hills,Michigan,USA,
246,Lobstah Bots,Boston,Massachusetts,USA,
247,Da Bears,Berkley,Michigan,USA,
248,Team 248,Philadelphia,PA,USA,
249,The Bulldogs,Detroit,MI,USA,
250,The Dynamos,Colonie,New York,USA,
252,Team 252,Colonie,New York,USA,
253,Boba Bots,Millbrae,California,USA,
254,The Cheesy Poofs,San Jose,California,USA,
255,Team 255,San Jose,CA,USA,
256,Robo-Rams,San Jose,California,USA,
257,Team 257,San Jose,California,USA,
258,Sea Dawgs,San Jose,CA,USA,
259,LABRATs,Bell,CA,USA,
260,Team 260,Los Angeles,CA,USA,
261,Team 261,Los Angeles,CA,USA,
263,Aftershock,Ronkonkoma,New York,USA,
264,Team 264,MI,USA,USA,
265,Moderate Heat,Wanaque,New Jersey,USA,
266,Team 266,Wanaque,New Jersey,USA,
267,Demolition Squad,Parkland,FL,USA,
268,Team 268,Philadelphia,PA,USA,
269,CooneyTech,Oconomowoc,Wisconsin,USA,
270,Falcons,Deer Park,NY,USA,
271,Mechanical Marauders,Bay Shore,New York,USA,
272,Cyber Crusaders,Lansdale,Pennsylvania,USA,
274,Rhodes Maniacs,Cleveland,OH,USA,
276,Madcows!,Youngstown,OH,USA,
277,Team 277,Youngstown,OH,USA,
278,Team 278,Orlando,FL,USA,
279,Tech Fusion,Maumee,Ohio,USA,
280,TnT,Taylor,Michigan,USA,
281,The GreenVillains,Greenville,South Carolina,USA,
282,Team 282,Winter Park,FL,USA,
283,The Generals,Greenville,South Carolina,USA,
284,The Crew,Dimock,PA,USA,
287,Floyd Robotics,Mastic Beach,New York,USA,
288,The RoboDawgs,Grandville,Michigan,USA,
290,Team 290,Grandville,Michigan,USA,
291,CIA - Creativity In Action,Erie,Pennsylvania,USA,
292,PantherTech,Russiaville,Indiana,USA,
293,SPIKE,Pennington,New Jersey,USA,
294,Beach Cities Robotics,Redondo Beach,California,USA,
295,Grizzly Robotics Team,Granite Bay,California,USA,
296,Northern Knights,Montreal,Québec,Canada,
297,Dragons 2,Lake Orion,MI,USA,
298,Team 298,Pleasanton,CA,USA,
299,Valkyrie Robotics,Cupertino,California,USA,
300,AAME,Philadelphia,PA,USA,
301,P.R.O.B.O.T.S.,Dearborn,MI,USA,
302,The Dragons,Lake Orion,Michigan,USA,
303,The T.E.S.T. Team,Bridgewater,New Jersey,USA,
304,GWHS Robo Griffins,Philadelphia,Pennsylvania,USA,
306,CRT,Corry,Pennsylvania,USA,
308,Monsters,Walled Lake,Michigan,USA,
309,RECHARGED,Walled Lake,Michigan,USA,
311,Red Jammers,Islip Terrace,NY,USA,
312,HeatWave,St. Petersburg,FL,USA,
313,Demeter,Westland,Michigan,USA,
314,The Megatron Oracles,Flint,Michigan,USA,
315,Team 315,Flint,Michigan,USA,
316,LUNATECS,Carneys Point,New Jersey,USA,
317,Mechanical Geek Squad,Fort Worth,TX,USA,
319,Big Bad Bob,Alton,New Hampshire,USA,
321,RoboLancers,Philadelphia,Pennsylvania,USA,
322,Team Knight Riders,Flint,Michigan,USA,
323,Lights Out,Mountain Home,Arkansas,USA,
324,Chips,Friendswood,Texas,USA,
325,Respawn Robotics,Hamilton,Ohio,USA,
326,Teamsuperpowermaticultramegasuperlativeawesometasticdelcioushowlingunieagles,Romulus,MI,USA,
328,Penn Robotics Golden Rooks,Mishawaka,Indiana,USA,
329,Mohawks,Medford,New York,USA,
330,The Beach Bots,Hermosa Beach,California,USA,
331,The Bulldogs,New York,NY,USA,
333,MEGALODONS,Brooklyn,New York,USA,
334,TechKnights,Brooklyn,New York,USA,
335,Skillz Tech Gear Botz,Brooklyn,New York,USA,
337,Hard Working Hard Hats,Whitman,West Virginia,USA,
338,Pandemic,West Jefferson,NC,USA,
339,Kilroy Robotics,Stafford,Virginia,USA,
340,G.R.R. (Greater Rochester Robotics),Churchville,New York,USA,
341,Miss Daisy,Ambler,Pennsylvania,USA,
342,Burning Magnetos,North Charleston,South Carolina,USA,
343,Metal-In-Motion,Seneca,South Carolina,USA,
345,NORSTAR,Norfolk,VA,USA,
346,RoboHawks,Richmond,Virginia,USA,
348,Norwell Robotics,Norwell,Massachusetts,USA,
349,Team 349,Bloomfield Hills,MI,USA,
350,Timberlane Robotics,Plaistow,NH,USA,
351,Team 351,Green Cove Springs,FL,USA,
352,The Green Machine,Carle Place,New York,USA,
353,POBots,Plainview,New York,USA,
354,G-House Pirates,Brooklyn,New York,USA,
356,Enigma,Little Rock,AR,USA,
357,Royal Assault,Drexel Hill,PA,USA,
358,Robotic Eagles,Hauppauge,New York,USA,
359,Hawaiian Kids,Waialua,Hawaii,USA,
360,The Revolution,Tacoma,Washington,USA,
361,Team 361,Farmindale,NY,USA,
362,The Muses,Los Angeles,California,USA,
364,Team Fusion 364,Gulfport,Mississippi,USA,
365,Miracle Workerz,Wilmington,Delaware,USA,
367,Team 367,Seaford,DE,USA,
368,Team Kika Mana,Honolulu,Hawaii,USA,
369,High Voltage Robotics,Brooklyn,New York,USA,
371,Cyber Warriors,Staten Island,New York,USA,
372,RoboKnights,Mukilteo,WA,USA,
373,Falcons ,Locust Valley,NY,USA,
374,The IceBreakers,Anchorage,AK,USA,
375,Robotic Plague,Staten Island,New York,USA,
376,Team 376,Newark,CA,USA,
378,The Circuit Stompers,Newfane,New York,USA,
379,The RoboCats,Girard,Ohio,USA,
380,G-FORCE,Bronx,NY,USA,
381,Tornadoes,Trenton,NJ,USA,
382,Twisted Blizzard,Columbus,OH,USA,
383,Brazilian Machine,Porto Alegre,Rio Grande do Sul,Brazil,
384,SPARKY 384,Henrico,Virginia,USA,
386,Team Voltage,Melbourne,Florida,USA,
388,Maximum Oz,Grundy,Virginia,USA,
391,Titanium Rampage,Grand Rapids,MI,USA,
393,Full Metal Jackets (FMJ393),Morristown,IN,USA,
394,Team 394,Windsor,CT,USA,
395,2 Train Robotics,Bronx,New York,USA,
397,Knight Riders,Flint,MI,USA,
398,The Thundering Herd,Ridgway,PA,USA,
399,Eagle Robotics,Lancaster,California,USA,
400,The Blue Dragons,Richmond,VA,USA,
401,Copperhead Robotics,Blacksburg,Virginia,USA,
402,Team 402,Woodbridge,VA,USA,
404,⚒️   404 ART Not Found  ⚒️,Petersburg,Virginia,USA,
405,The Chameleons,Richmond,VA,USA,
406,Mumford Chargers,Detroit,MI,USA,
407,Team 407,Detroit,MI,USA,
408,The RoboTicks,Pompano Beach,FL,USA,
409,Team 409,San Jose,CA,USA,
410,Psychos,Los Angeles,CA,USA,
411,The Creeping Crawlers,Rockhill,SC,USA,
413,Team 413,Rockhill,SC,USA,
414,Smokie and the Bandits,Richmond,VA,USA,
415,RoBoCRAFT,Williamston,SC,USA,
416,Regs,Richmond,VA,USA,
417,Stangbot,Mt. Sinai,NY,USA,
418,Purple Haze,Austin,Texas,USA,
419,NDV Dragon Bots,Boston,MA,USA,
420,Team 420,Boston,MA,USA,
421,The Warriors,Bronx,New York,USA,
422,The Mech Tech Dragons,Richmond,Virginia,USA,
423,Simple Machines,Elkins Park,Pennsylvania,USA,
424,Rust Belt Robotics,Buffalo,New York,USA,
425,Spartans,Melbourne,FL,USA,
426,Zombie Apocalypse Counter Task Force,Bronx,New York,USA,
427,LANCE-A-LOT,Philadelphia,Pennsylvania,USA,
428,BoroBlasters,Hillsborough,New Jersey,USA,
429,Two Many Bobcats,South Windsor,Connecticut,USA,
430,MORT GAMMA,Budd Lake,New Jersey,USA,
431,PinkZilla,Rockledge,Florida,USA,
432,The Final Countdown,Hamilton,Ohio,USA,
433,Firebirds,Flourtown,Pennsylvania,USA,
434,Kraken,Missouri City,TX,USA,
435,Robodogs,Raleigh,North Carolina,USA,
436,Purple Rain,Austin,Texas,USA,
437,Talon Robotics,Richardson,TX,USA,
438,El Camino Creek Problem-Solving Programmers,Houston,TX,USA,
440,The Suspects,Detroit,MI,USA,
441,DEVIL DOGS,Houston,Texas,USA,
442,Redstone Robotics,Huntsville,Alabama,USA,
443,Freelance Robotics,Denver,CO,USA,
444,Philly's Extreme Team,Philadelphia,PA,USA,
446,Robodogs,La Porte,TX,USA,
447,Team Roboto,Anderson,Indiana,USA,
448,Crandroids,Bloomfield Hills,MI,USA,
449,The Blair Robot Project,Silver Spring,Maryland,USA,
451,Cat Attack Robotics,Maumee,Ohio,USA,
453,Rockem Sockem Robotics,Clinton Township,Michigan,USA,
456,Siege Robotics,Vicksburg,Mississippi,USA,
457,⚙️ Grease Monkeys ⚙️,San Antonio,Texas,USA,
459,Rampage Robotics,Gainesville,FL,USA,
460,Xavier Robotics,Phoenix,AZ,USA,
461,Westside Boiler Invasion,West Lafayette,Indiana,USA,
462,The Rambunctious Rams,Jackson,MS,USA,
463,LEGObots,San Jose,CA,USA,
464,Team 464,Rio Rancho,NM,USA,
465,GearHeads,Canton,MI,USA,
466,LEGOndary,Philadelphia,PA,USA,
467,Center of Mass,Shrewsbury,Massachusetts,USA,
468,Aftershock,Flint,Michigan,USA,
469,Las Guerrillas,Pontiac,Michigan,USA,
470,Grizzly Robotics,Ypsilanti,Michigan,USA,
471,Cyber Tigers,Fenton,MI,USA,
473,RoboDevils!!,Corvallis,MT,USA,
475,Team 475,Detroit,MI,USA,
476,Wildcats,Ponca City,OK,USA,
478,Critical Mass,Rosemead,CA,USA,
480,Hybrid,Oakland,CA,USA,
481,The Hitchhikers,San Pablo,CA,USA,
484,Roboforce,Havertown,Pennsylvania,USA,
486,Positronic Panthers,Wallingford,Pennsylvania,USA,
487,Spartans,Erdenheim,PA,USA,
488,Team XBOT,Seattle,Washington,USA,
491,Technotics,Bridgeport,CT,USA,
492,Titan Robotics Club,Bellevue,Washington,USA,
493,Team 493,ALLIANCE,OH,USA,
494,Martians,Goodrich,Michigan,USA,
495,Team 495,Williamsburg,VA,USA,
496,Royals,Port Jefferson,New York,USA,
497,Orange Crush,Orange,VA,USA,
498,The Cobra Commanders,Glendale,Arizona,USA,
499,Toltechs,San Antonio,Texas,USA,
500,Team 500/Team USA,New London,CT,USA,
501,The PowerKnights,Manchester/Goffstown,New Hampshire,USA,
502,Robo Rockers,Rockville Centre,NY,USA,
503,Frog Force,Novi,Michigan,USA,
504,Team 504,Little Silver,NJ,USA,
505,Team 505,Yonkers,NY,USA,
506,BroBots,South Huntington,NY,USA,
507,Solid Orange Academy of Robotics (SOAR),Greenville,SC,USA,
508,Team 508,Avon,CT,USA,
509,Red Storm,Bedford,New Hampshire,USA,
510,Hawaii Five-10,Highland Springs,VA,USA,
511,The Robodox,Granada Hills,California,USA,
512,Team 512,Hull,MA,USA,
513,Renegade Robotics,Oklahoma City,OK,USA,
514,Entropy,Miller Place,New York,USA,
515,TechnoKnights,Detroit,MI,USA,
516,StuyPlus,New York,New York,USA,
517,Team 517,New Providence,NJ,USA,
518,Blue Steel,Grand Rapids,MI,USA,
519,Robo Masters,Detroit,MI,USA,
520,Team 520,Deer Park,TX,USA,
521,"L33T CREW (""leet crew"")",Waterford,CT,USA,
522,ROBO WIZARDS,Staten Island,New York,USA,
524,Team 524,Bakersfield,CA,USA,
525,Swartdogs,Cedar Falls,Iowa,USA,
526,Saxon Sparks,Mc Lean,Virginia,USA,
527,Red Dragons,Massapequa,New York,USA,
528,The Persuaders,Lansdale,PA,USA,
529,The Mansfield Hornets,Mansfield,MA,USA,
533,The PSIcotics,Lindenhurst,New York,USA,
535,G-Force,Markle,IN,USA,
536,Team 536,San Francisco,CA,USA,
537,Charger Robotics,Sussex,Wisconsin,USA,
538,Renaissance Robotics,Athens,Alabama,USA,
539,Titan Robotics,Richmond,Virginia,USA,
540,TALON 540 Godwin Robotics,Henrico,Virginia,USA,
541,Surgeons of Steel,Cleveland,OH,USA,
545,ROBO-DAWGS,Levittown,New York,USA,
546,Technotics,Woodbridge,CT,USA,
547,Falcon Engineering And Robotics,Fayetteville,Tennessee,USA,
548,Robostangs,Northville,Michigan,USA,
549,DevilDawgs,Leominster,MA,USA,
550,NanKnights,Washington,NJ,USA,
551,Team 551,Belvidere,NJ,USA,
554,The Blue Grease Crew,Ft. Thomas,Kentucky,USA,
555,Montclair Robotics Team 555,Montclair,New Jersey,USA,
557,Flaming Cardinals,Detroit,MI,USA,
558,Elm City Robo Squad,New Haven,Connecticut,USA,
560,Camdenton 4-H LASER HWE #3,Detroit,MI,USA,
561,Camdenton 4-H LASER HWE #4,Phila,PA,USA,
562,SPARK - Students Pursuing Applied Robotics Knowledge,Fitchburg,MA,USA,
563,Thrashers,Phila,PA,USA,
564,Longwood RoboLions,Middle Island,New York,USA,
565,Camdenton 4-H LASER ORI #3,Newark,DE,USA,
566,Hot Wired 566,Centereach,NY,USA,
568,Nerds of the North,Anchorage,Alaska,USA,
569,Rambots 569,Westbury,New York,USA,
570,Team Phoenix,Glen Cove,NY,USA,
571,Paragon Robotics,Windsor,Connecticut,USA,
573,Mech Warriors,Bloomfield Hills,Michigan,USA,
574,Team 574,Bronx,NY,USA,
575,Frankfort First Lego League #1,North Hills,CA,USA,
576,Nerd Kings,Los Angeles,CA,USA,
577,Tiger Techs,Tujunga,CA,USA,
578,Fairport Robotics,Fairport,New York,USA,
579,Team 579,Laveen,AZ,USA,
580,Viking Robotics,Studio City,California,USA,
581,Blazing Bulldogs,San Jose,California,USA,
582,Viking Electros,Jacksonville,FL,USA,
583,Team 583,Seattle,WA,USA,
585,Cyber Penguins,Tehachapi,California,USA,
586,Robo Mustangs,Alhambra,CA,USA,
587,The Hedgehogs,Hillsborough,North Carolina,USA,
588,Jagtronx,Jacksonville,FL,USA,
589,Falkon Robotics,La Crescenta,California,USA,
590,Chahta Warriors,Choctaw,Mississippi,USA,
591,Power Surge,Los Angeles,CA,USA,
592,Team 592,Sacramento,CA,USA,
593,Joe Walker - B.R.O.S. (Brothers Reaching Over Success),Houston,TX,USA,
594,Joe Walker - Whiplash,Flint,MI,USA,
596,SciClones,Hopkinton,MA,USA,
597,The Wolverines,Los Angeles,California,USA,
598,Team Duct Tape,Woodland Hills,CA,USA,
599,The Robodox,Granada Hills,California,USA,
600,RamRod Robotics,Lynchburg,VA,USA,
601,BayBots,Hampton Bays,New York,USA,
602,MTC,Leesburg,VA,USA,
603,FBI - Fascinating Bot Intelligence,Daytona Beach,FL,USA,
604,Quixilver,San Jose,California,USA,
605,Astromechs,Hayward,CA,USA,
606,Cyber Eagles,Los Angeles,California,USA,
607,Mindstorm Overlords,Piney Woods,MS,USA,
608,Team 608,Atlanta,GA,USA,
609,VentureBOTS,Santa Rosa,CA,USA,
610,Crescent Coyotes,Toronto,Ontario,Canada,
611,Saxons,Mc Lean,Virginia,USA,
612,Chantilly Robotics,Chantilly,Virginia,USA,
613,NeoWarriors,Somerset,New Jersey,USA,
614,Night Hawks,Alexandria,Virginia,USA,
615,Knights,Washington,District of Columbia,USA,
616,Southampton Indians,Courtland,VA,USA,
617,Enginerds,Highland Springs ,Virginia,USA,
618,E.A.R.T.H. Squad (Edison Achieving Real Technological Heights),Philadelphia,PA,USA,
619,Cavalier Robotics,Charlottesville,Virginia,USA,
620,Warbots,Vienna,Virginia,USA,
621,Team 621,Falls Church,VA,USA,
622,Team 622,Manassas,VA,USA,
623,Oakton Cougar Robotics,Vienna,Virginia,USA,
624,CRyptonite,Katy,Texas,USA,
625,Team 625,Palmer,AK,USA,
627,Team 627,Falls Church,VA,USA,
628,Northern RobArctic,Fairbanks,AK,USA,
630,Team 630,McLean,VA,USA,
632,J-Lo,Union City,CA,USA,
633,Falcon Robotics,Tacoma,WA,USA,
634,Rage,Van Nuys,CA,USA,
635,Team 635,Buda,TX,USA,
636,Rascals,Waipahu,HI,USA,
637,MR. T,Montville Township,NJ,USA,
638,Operation Oxidation,Midlothian,VA,USA,
639,Code Red Robotics,Ithaca,New York,USA,
640,Edison Robotics,Jamaica,New York,USA,
641,Team 641,Sanborn,NY,USA,
642,BRR(Big Red Robotics),Parkersburg,WV,USA,
643,Team 643,Allentown,PA,USA,
644,Team Mambo,Pearl River,LA,USA,
645,Team 645,San Rafael,CA,USA,
646,Team 646,West Sayville,NY,USA,
647,CYBERWOLVES,Killeen,Texas,USA,
648,QC ELITE  Flaming Squirrels,Moline,Illinois,USA,
649,MSET Fish,Saratoga,California,USA,
650,Hella's Angels,Flora,IL,USA,
651,Yo Bot,Mar Lin,PA,USA,
652,Bobcats,Erie,PA,USA,
653,NOSIDE,San Antonio,Texas,USA,
654,Mechateuthis Dux,Tallahassee,FL,USA,
655,Team 655,Brooklyn,NY,USA,
658,B.E.A.S.T.  - Bringing Excitement and Science Together,Wyoming,MI,USA,
659,Team 659,Houston,TX,USA,
660,Dragons,Round Rock,TX,USA,
662,Rocky Mountain Robotics,USAF Academy,Colorado,USA,
663,Power Sharks,Whitinsville,Massachusetts,USA,
664,Team 664,Harvard,IL,USA,
665,Motor Monkeys,Orlando,FL,USA,
666,The TorMentors,Hell,CT,USA,
667,Team 667,Los Angeles,CA,USA,
668,The Apes of Wrath,San Jose,California,USA,
670,Homestead Robotics,Cupertino,California,USA,
671,Team 671,San Francisco,CA,USA,
674,Team 674,Manchester,CA,USA,
675,Tech High Robotics,Rohnert Park,California,USA,
676,Team 676,El Paso,TX,USA,
677,Murphy's Outlaws,Columbus,Ohio,USA,
679,Team 679,New York,NY,USA,
681,Team 681,Chicago,IL,USA,
684,Team 684,Sylmar,CA,USA,
685,Team 685,Coconut Creek,FL,USA,
686,Bovine Intervention,Frederick,Maryland,USA,
687,The Nerd Herd,Carson,California,USA,
688,Team 688,Flint,MI,USA,
690,Team 690,Northampton,MA,USA,
691,Project 691 Robotics,Stevenson Ranch,California,USA,
692,The Fembots,Sacramento,California,USA,
694,StuyPulse,New York,New York,USA,
695,Bison Robotics,Beachwood,Ohio,USA,
696,Circuit Breakers,La Crescenta,California,USA,
697,Panda Robotics,Los Angeles,CA,USA,
698,Hamilton Microbots,Chandler,Arizona,USA,
699,Team 699,Chatsworth,CA,USA,
700,Team 700,Los Angeles,CA,USA,
701,RoboVikes,Fairfield,California,USA,
702,Bagel Bytes,Culver City,California,USA,
703,Team Phoenix,Saginaw,Michigan,USA,
704,Warriors,Grand Prairie,Texas,USA,
706,Cyberhawks,Hartland,Wisconsin,USA,
708,Hatters Robotics,Horsham,Pennsylvania,USA,
